"filename", "language", "JSON", "JavaScript", "Markdown", "Python", "Shell Script", "Docker", "YAML", "comment", "blank", "total"
"f:\Programmi\Bots\GemiX\src\tools\gemixProjectCmds.js", "JavaScript", 0, 130, 0, 0, 0, 0, 0, 18, 20, 168
"f:\Programmi\Bots\GemiX\src\tools\groupMemory.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 7, 6, 30
"f:\Programmi\Bots\GemiX\src\tools\imageSearch.js", "JavaScript", 0, 224, 0, 0, 0, 0, 0, 71, 54, 349
"f:\Programmi\Bots\GemiX\src\tools\index.js", "JavaScript", 0, 514, 0, 0, 0, 0, 0, 44, 64, 622
"f:\Programmi\Bots\GemiX\src\tools\musicStats.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 18, 25, 124
"f:\Programmi\Bots\GemiX\src\tools\projects.js", "JavaScript", 0, 263, 0, 0, 0, 0, 0, 46, 47, 356
"f:\Programmi\Bots\GemiX\src\tools\readFile.js", "JavaScript", 0, 243, 0, 0, 0, 0, 0, 24, 40, 307
"f:\Programmi\Bots\GemiX\src\tools\releaseNotify.js", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 13, 12, 100
"f:\Programmi\Bots\GemiX\src\tools\scheduler.js", "JavaScript", 0, 140, 0, 0, 0, 0, 0, 16, 20, 176
"f:\Programmi\Bots\GemiX\src\tools\serverRules.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 1, 4, 22
"f:\Programmi\Bots\GemiX\src\tools\taskReader.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 9, 9, 55
"f:\Programmi\Bots\GemiX\src\tools\taskRemover.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 7, 8, 31
"f:\Programmi\Bots\GemiX\src\tools\userMemory.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 7, 6, 28
"f:\Programmi\Bots\GemiX\src\tools\voiceMessage.js", "JavaScript", 0, 127, 0, 0, 0, 0, 0, 29, 18, 174
"f:\Programmi\Bots\GemiX\src\tools\webSearch.js", "JavaScript", 0, 140, 0, 0, 0, 0, 0, 63, 27, 230
"f:\Programmi\Bots\GemiX\src\tools\whatsappSender.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 15, 7, 42
"f:\Programmi\Bots\GemiX\src\tools\writeFile.js", "JavaScript", 0, 120, 0, 0, 0, 0, 0, 30, 17, 167
"f:\Programmi\Bots\GemiX\src\utils\adminNotifier.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 12, 10, 44
"f:\Programmi\Bots\GemiX\src\utils\attachments.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 33, 10, 89
"f:\Programmi\Bots\GemiX\src\utils\bgTasks.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 4, 7, 33
"f:\Programmi\Bots\GemiX\src\utils\discord.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 12, 2, 24
"f:\Programmi\Bots\GemiX\src\utils\executionLogger.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 1, 6, 42
"f:\Programmi\Bots\GemiX\src\utils\fetch.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 18, 5, 55
"f:\Programmi\Bots\GemiX\src\utils\footer.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 37, 9, 78
"f:\Programmi\Bots\GemiX\src\utils\historySync.js", "JavaScript", 0, 365, 0, 0, 0, 0, 0, 63, 49, 477
"f:\Programmi\Bots\GemiX\src\utils\logger.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 1, 8, 55
"f:\Programmi\Bots\GemiX\src\utils\media.js", "JavaScript", 0, 203, 0, 0, 0, 0, 0, 45, 34, 282
"f:\Programmi\Bots\GemiX\src\utils\mediaDuration.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 13, 6, 63
"f:\Programmi\Bots\GemiX\src\utils\memoryStore.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 12, 9, 52
"f:\Programmi\Bots\GemiX\src\utils\messageBatcher.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 31, 19, 89
"f:\Programmi\Bots\GemiX\src\utils\pollParser.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 1, 10, 58
"f:\Programmi\Bots\GemiX\src\utils\projectState.js", "JavaScript", 0, 165, 0, 0, 0, 0, 0, 16, 23, 204
"f:\Programmi\Bots\GemiX\src\utils\responseLock.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 3, 11, 61
"f:\Programmi\Bots\GemiX\src\utils\taskStore.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 23, 8, 88
"f:\Programmi\Bots\GemiX\src\utils\text.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 27, 5, 54
"f:\Programmi\Bots\GemiX\src\utils\time.js", "JavaScript", 0, 125, 0, 0, 0, 0, 0, 60, 27, 212
"f:\Programmi\Bots\GemiX\src\utils\userIdentifier.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 16, 8, 49
"f:\Programmi\Bots\GemiX\src\utils\userPaths.js", "JavaScript", 0, 286, 0, 0, 0, 0, 0, 83, 42, 411
"f:\Programmi\Bots\GemiX\src\utils\voiceTextCache.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 1, 4, 13
"Total", "-", 23, 9410, 276, 209, 24, 62, 44, 1826, 1680, 13554
